CD_setor;V01006;V01007;V01008;V01009;V01010;V01011;V01012;V01013;V01014;V01015;V01016;V01017;V01018;V01019;V01020;V01021;V01022;V01023;V01024;V01025;V01026;V01027;V01028;V01029;V01030;V01031;V01032;V01033;V01034;V01035;V01036;V01037;V01038;V01039;V01040;V01041
352440205000001;211;99;112;5;3;4;6;11;8;12;15;9;13;13;4;6;6;3;4;4;17;17;6;20;25;9;9;10;9;15;12;29;32;15;33;38
352440205000004;382;176;206;10;7;5;11;6;10;33;23;19;29;23;7;5;7;6;12;16;32;24;29;28;40;17;12;12;17;18;26;65;47;48;57;63
352440205000005;196;82;114;X;3;X;3;4;6;11;6;15;14;16;7;X;X;5;11;7;12;10;8;19;31;9;5;4;8;15;13;23;16;23;33;47
352440205000007;566;251;315;11;10;9;9;15;17;43;31;33;37;36;9;11;17;19;10;20;28;44;42;55;60;20;21;26;28;25;37;71;75;75;92;96
352440205000008;261;113;148;6;5;7;5;6;3;17;27;8;18;11;7;9;13;9;7;7;29;21;12;19;15;13;14;20;14;13;10;46;48;20;37;26
352440205000009;311;124;187;4;X;4;11;8;12;15;18;19;10;21;X;X;6;4;12;8;16;23;18;26;70;6;4;10;15;20;20;31;41;37;36;91
352440205000010;219;107;112;8;3;6;4;7;5;14;14;14;12;20;0;3;4;3;3;5;15;11;15;17;36;8;6;10;7;10;10;29;25;29;29;56
352440205000013;614;276;338;17;15;20;15;14;16;36;45;34;23;41;14;12;15;17;17;18;45;41;50;39;70;31;27;35;32;31;34;81;86;84;62;111
352440205000014;593;247;346;21;9;14;12;16;16;32;24;45;30;28;9;15;20;24;16;19;38;37;49;46;73;30;24;34;36;32;35;70;61;94;76;101
352440205000015;493;222;271;12;8;10;19;15;18;21;32;25;34;28;8;13;8;12;14;16;28;48;33;44;47;20;21;18;31;29;34;49;80;58;78;75
352440205000016;384;175;209;7;12;15;11;9;13;32;26;31;12;7;13;12;5;13;16;20;31;35;34;11;19;20;24;20;24;25;33;63;61;65;23;26
352440205000017;680;310;370;11;15;20;12;25;13;43;45;44;45;37;14;29;11;14;18;28;43;48;39;58;68;25;44;31;26;43;41;86;93;83;103;105
352440205000018;559;259;300;7;19;17;12;22;24;28;30;34;33;33;8;11;14;13;12;21;34;42;51;46;48;15;30;31;25;34;45;62;72;85;79;81
