VARIÁVEL;CATEGORIAS;DESCRIÇÃO
CD_SETOR;;Geocódigo de Setor Censitário
SITUACAO;;Situação do Setor Censitário
;Urbana;Urbana
;Rural;Rural
CD_SITUACAO;;Situação detalhada do Setor Censitário
;1;Área urbana de alta densidade de edificações de cidade ou vila
;2;Área urbana de baixa densidade de edificações de cidade ou vila
;3;Núcleo urbano
;5;Aglomerado rural - Povoado
;6;Aglomerado rural - Núcleo rural
;7;Aglomerado rural - Lugarejo
;8;Área rural (exclusive aglomerados)
;9;Massas de água
CD_TIPO;;Tipo do Setor Censitário
;0;Não especial
;1;Favela e Comunidade Urbana
;2;Quartel e base militar
;3;Alojamento / acampamento
;4;Setor com baixo patamar domiciliar
;5;Agrupamento indígena
;6;Unidade prisional
;7;Convento / hospital / ILPI / IACA
;8;Agrovila do PA
;9;Agrupamento quilombola
AREA_KM2;;Área do Setor Censitário em quilômetros quadrados
CD_REGIAO;;Código das Grandes Regiões (Regiões Geográficas)
NM_REGIAO;;Nome das Grandes Regiões (Regiões Geográficas)
CD_UF;;Código da Unidade da Federação
NM_UF;;Nome da Unidade da Federação
CD_MUN;;Código do Município
NM_MUN;;Nome do Município
CD_DIST;;Código do Distrito
NM_DIST;;Nome do Distrito
CD_SUBDIS;;Código do Subdistrito
NM_SUBDIST;;Nome do Subdistrito
CD_BAIRRO;;Código do Bairro
NM_BAIRRO;;Nome do Bairro
CD_NU;;Código do Núcleo Urbano
NM_NU;;Nome do Núcleo Urbano
CD_FCU;;Código da Favela ou Comunidade Urbana
NM_FCU;;Nome da Favela ou Comunidade Urbana
CD_AGLOM;;Código do Aglomerado
NM_AGLOM;;Nome do Aglomerado
CD_RGINT;;Código da Região Geográfica Intermediária
NM_RGINT;;Nome da Região Geográfica Intermediária
CD_RGI;;Código da Região Geográfica Imediata
NM_RGI;;Nome da Região Geográfica Imediata
CD_CONCURB;;Código da Concentração Urbana
NM_CONCURB;;Nome da Concentração Urbana
V0001;;Total de pessoas
V0002;;Total de Domicílios (DPPO + DPPV + DPPUO + DPIO + DCCM + DCSM)
V0003;;Total de Domicílios Particulares (DPPO + DPPV + DPPUO + DPIO)
V0004;;Total de Domicílios Coletivos (DCCM + DCSM)
V0005;;Média de moradores em Domicílios Particulares Ocupados (Total pessoas em Domicílios Particulares Ocupados / DPPO + DPIO)
V0006;;Percentual de Domicílios Particulares Ocupados Imputados (Total DPO imputados / Total DPO)
V0007;;Total de Domicílios Particulares Ocupados (DPPO + DPIO)
